City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Nanyuki,KE,2022-10-02 12:53:07,0.0167,37.0728,74.58800000000005,41,89,2.77
130,Tuktoyaktuk,CA,2022-10-02 12:53:08,69.4541,-133.0374,29.228000000000065,77,100,6.15
131,Kambove,CD,2022-10-02 12:53:08,-10.8764,26.5969,89.47400000000002,16,2,3.01
132,Thinadhoo,MV,2022-10-02 12:53:09,0.5333,72.9333,82.41800000000009,69,100,7.94
133,Comodoro Rivadavia,AR,2022-10-02 12:53:09,-45.8667,-67.5,46.25600000000003,76,0,0.0
134,Caceres,ES,2022-10-02 12:54:10,39.522,-6.3748,84.70400000000006,14,3,3.16
135,Nhulunbuy,AU,2022-10-02 12:54:10,-12.2333,136.7667,79.41200000000006,89,84,2.06
136,Paamiut,GL,2022-10-02 12:54:11,61.994,-49.6678,35.564000000000036,67,27,4.1
137,Inga,BR,2022-10-02 12:54:11,-7.2808,-35.6044,82.85,44,0,5.47
138,Ust-Nera,RU,2022-10-02 12:54:12,64.5667,143.2,18.86000000000008,97,100,1.18
139,Jumla,NP,2022-10-02 12:54:12,29.2747,82.1838,56.06600000000001,89,0,0.81
140,Beira,MZ,2022-10-02 12:54:12,-19.8436,34.8389,84.29000000000002,65,20,6.26
141,Port Blair,IN,2022-10-02 12:54:13,11.6667,92.75,82.43600000000006,78,40,1.54
142,Esik,KZ,2022-10-02 12:54:13,43.3552,77.4525,51.22400000000002,35,2,1.0
143,Severo-Kurilsk,RU,2022-10-02 12:54:14,50.6789,156.125,44.27600000000009,66,21,5.82
144,Vaitape,PF,2022-10-02 12:54:14,-16.5167,-151.75,78.04400000000007,73,100,6.91
145,Alta Floresta,BR,2022-10-02 12:54:15,-9.8756,-56.0861,80.42000000000007,74,82,1.54
146,Madinat Sittah Uktubar,EG,2022-10-02 12:54:15,29.8167,31.05,94.60400000000006,17,0,5.71
147,Bethel,US,2022-10-02 12:54:15,41.3712,-73.414,58.01000000000008,79,100,1.79
148,Amuntai,ID,2022-10-02 12:54:16,-2.4177,115.2494,76.53200000000001,93,100,1.13
149,Nanortalik,GL,2022-10-02 12:54:16,60.1432,-45.2371,37.65200000000008,84,77,5.93
150,Logan,US,2022-10-02 12:53:34,41.7355,-111.8344,54.03200000000002,61,100,1.68
151,Isla Vista,US,2022-10-02 12:54:01,34.4133,-119.861,64.94000000000003,87,82,0.58
152,Sur,OM,2022-10-02 12:54:17,22.5667,59.5289,87.29600000000005,58,0,2.42
153,Henties Bay,NA,2022-10-02 12:54:18,-22.116,14.2845,62.438000000000045,74,9,6.58
154,Destin,US,2022-10-02 12:54:18,30.3935,-86.4958,65.96600000000001,68,0,3.6
155,Qasigiannguit,GL,2022-10-02 12:54:18,68.8193,-51.1922,27.08600000000007,75,100,0.24
156,Padang,ID,2022-10-02 12:58:12,-0.9492,100.3543,80.65400000000005,92,100,1.37
157,Ailigandi,PA,2022-10-02 12:58:13,9.2333,-78.0167,79.75400000000005,75,100,1.38
158,Faanui,PF,2022-10-02 12:58:14,-16.4833,-151.75,77.97200000000004,73,100,6.91
159,Leningradskiy,RU,2022-10-02 12:58:14,69.3833,178.4167,26.02400000000001,79,100,2.16
160,San Felipe,VE,2022-10-02 12:58:14,10.3399,-68.7425,82.63399999999999,62,84,1.95
161,Yenangyaung,MM,2022-10-02 12:58:15,20.4667,94.8833,76.62200000000004,91,100,5.14
162,Alyangula,AU,2022-10-02 12:58:15,-13.8483,136.4192,78.98000000000005,63,20,2.69
163,Norman Wells,CA,2022-10-02 12:58:16,65.282,-126.8329,32.03600000000007,100,100,9.26
