City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Tuktoyaktuk,CA,69.45,-133.04,30.36,90,93,5.39,overcast clouds
214,Aksu,CN,41.12,80.26,60.12,26,36,3.06,scattered clouds
215,Khatanga,RU,71.97,102.5,17.91,97,100,2.6,overcast clouds
216,Tiksi,RU,71.69,128.87,25.97,88,100,9.69,light snow
217,Sudbury,CA,46.49,-80.99,63.05,79,100,1.79,overcast clouds
218,Salalah,OM,17.02,54.09,80.69,78,20,2.57,few clouds
219,Kuncice Pod Ondrejnikem,CZ,49.55,18.26,57.33,67,0,5.14,clear sky
220,Kjollefjord,NO,70.95,27.35,46.45,75,0,8.23,clear sky
221,Carsamba,TR,41.2,36.72,65.95,72,75,5.66,broken clouds
222,Seymchan,RU,62.88,152.43,18.52,85,100,6.87,overcast clouds
223,Vestmannaeyjar,IS,63.44,-20.27,47.39,71,40,9.77,scattered clouds
224,Jalu,LY,29.03,21.55,85.03,31,3,4.25,clear sky
225,Uaua,BR,-9.84,-39.48,93.83,21,30,4.57,scattered clouds
226,Bilma,NE,18.69,12.92,99.19,12,8,2.78,clear sky
227,Griffith,US,41.53,-87.42,72.14,40,0,3.09,clear sky
228,La Ronge,CA,55.1,-105.28,36.54,59,29,5.43,scattered clouds
229,Tasiilaq,GL,65.61,-37.64,35.76,66,41,1.34,scattered clouds
230,Goderich,CA,43.75,-81.72,62.91,55,78,3.31,broken clouds
231,Omboue,GA,-1.57,9.26,79.75,73,93,4.32,overcast clouds
232,Nakhon Phanom,TH,17.33,104.42,74.61,91,86,2.63,overcast clouds
233,Port-Gentil,GA,-0.72,8.78,82.36,74,40,6.69,scattered clouds
234,Darhan,MN,49.49,105.92,33.37,42,0,1.62,clear sky
235,Amahai,ID,-3.33,128.92,78.19,87,69,1.64,broken clouds
236,Kedougou,SN,12.56,-12.17,87.73,69,62,2.6,light rain
237,Grand Gaube,MU,-20.01,57.66,72.37,66,1,3.13,clear sky
238,Kavieng,PG,-2.57,150.8,82.44,77,48,6.6,scattered clouds
239,Tupik,RU,54.43,119.93,22.55,65,51,1.91,broken clouds
240,Lisakovsk,KZ,52.54,62.49,50.47,23,100,3.9,overcast clouds
241,Akyab,MM,20.15,92.9,82.17,77,3,0.91,clear sky
242,Santa Fe,AR,-31.63,-60.7,79.02,39,85,3.13,overcast clouds
243,Yenagoa,NG,4.92,6.26,80.85,80,100,3.36,moderate rain
244,Yarim,YE,14.3,44.38,62.38,38,89,4.39,light rain
245,Marfino,RU,55.7,37.38,46.31,85,75,3.0,broken clouds
246,Hajnowka,PL,52.74,23.58,54.81,67,100,3.93,overcast clouds
247,Port Blair,IN,11.67,92.75,81.23,81,100,6.02,overcast clouds
248,Almeirim,BR,-1.52,-52.58,96.69,34,11,2.65,few clouds
249,Teofilo Otoni,BR,-17.86,-41.51,91.83,40,92,1.34,overcast clouds
250,Lorengau,PG,-2.02,147.27,81.37,78,87,4.9,overcast clouds
251,Mangrol,IN,21.12,70.12,81.63,74,11,6.19,few clouds
252,Srivardhan,IN,18.03,73.02,80.35,87,99,3.79,overcast clouds
253,Tupaciguara,BR,-18.59,-48.7,88.09,35,5,2.41,clear sky
254,Myitkyina,MM,25.38,97.4,72.86,99,72,0.9,broken clouds
255,Togul,RU,53.47,85.91,36.93,95,100,3.84,light rain
256,Punta Cardon,VE,11.66,-70.22,86.74,65,54,4.24,broken clouds
257,San Jose,US,37.34,-121.89,70.25,88,100,0.0,mist
