City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Mangrol,IN,81.63,few clouds,21.12,70.12,Hotel The Royal Honours
252,Srivardhan,IN,80.35,overcast clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
253,Tupaciguara,BR,88.09,clear sky,-18.59,-48.7,Hotel Tupaciguara
256,Punta Cardon,VE,86.74,broken clouds,11.66,-70.22,Bambuda hotel
265,Pathein,MM,77.04,broken clouds,16.78,94.73,Pathein Hotel
270,Tarifa,ES,78.82,clear sky,36.01,-5.61,Hostel Facundo
272,Kirakira,SB,79.99,broken clouds,-10.45,161.92,SanBiz Lodge
273,Garowe,SO,85.8,overcast clouds,8.41,48.48,Curubo Hotel
276,Bambanglipuro,ID,76.95,overcast clouds,-7.95,110.28,Puri Brata
278,Bonthe,SL,82.83,broken clouds,7.53,-12.51,Bonthe Holiday Village
284,Ouesso,CG,82.69,overcast clouds,1.61,16.05,ABENIE Hotel
285,Nguruka,TZ,83.03,broken clouds,-5.11,31.04,RUSULI LODGE
289,Catamarca,AR,77.07,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
294,Santiago Del Estero,AR,87.84,clear sky,-27.8,-64.26,Apartamentos Castelli 90
296,Praia,CV,86.54,few clouds,14.92,-23.51,LT Aparthotel
297,Porbandar,IN,82.24,few clouds,21.64,69.61,Lords Inn Porbandar
298,Luwuk,ID,77.67,broken clouds,-0.95,122.79,Hotel Santika Luwuk
299,Dhone,IN,75.34,moderate rain,15.42,77.88,Pennera Rakesh
302,Dharmabad,IN,75.34,moderate rain,18.9,77.85,Sudarshan Gangaram mangal karyalay Dharmabad
308,Buala,SB,80.8,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
311,Manavalakurichi,IN,78.37,overcast clouds,8.13,77.3,Jebinrio home
317,Kovur,IN,79.61,light rain,14.48,79.98,Hotel Yesh Park
318,Lebowakgomo,ZA,81.5,clear sky,-24.2,29.5,Chuene Resort
319,Luanda,AO,77.0,clear sky,-8.84,13.23,EPIC SANA Luanda
321,Ormara,PK,79.61,clear sky,25.21,64.64,Kenara Colony House for Rent
323,La Reforma,MX,80.06,clear sky,25.08,-108.05,Arremar Angostura
329,Reconquista,AR,78.82,clear sky,-29.15,-59.65,Grand Hotel
330,Cabo San Lucas,MX,84.51,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
334,Santa Maria,BR,76.32,clear sky,-29.68,-53.81,Hotel Morotin
337,Waddan,LY,82.31,clear sky,29.16,16.14,محل الشريف محمد العايب
338,Tomigusuku,JP,80.73,scattered clouds,26.18,127.67,Hotel Gran View Okinawa
342,Namatanai,PG,79.29,broken clouds,-3.67,152.43,Seagulls Inn Namatani
345,Rawatsar,IN,87.87,clear sky,29.28,74.38,Batra Hotel
349,The Valley,AI,87.82,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
358,Najran,SA,84.85,scattered clouds,17.49,44.13,محمد هادي ال فطيح
364,Kuito,AO,86.86,broken clouds,-12.38,16.93,Herdeiros de Antunes Capusso
366,Puerto Escondido,MX,86.83,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
390,Ternate,ID,80.73,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
393,San Vicente,AR,83.26,light rain,-26.62,-54.13,Complejo Turístico Farelluk
394,Bathsheba,BB,88.41,few clouds,13.22,-59.52,Atlantis Hotel
395,Road Town,VG,89.69,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
405,Luau,AO,88.65,overcast clouds,-10.71,22.22,Kimbo Hotel
409,Ijui,BR,82.42,few clouds,-28.39,-53.91,Hotel Vera Cruz
411,Ponta Do Sol,PT,76.71,overcast clouds,32.67,-17.1,Hotel do Campo
415,Martapura,ID,75.29,broken clouds,-3.42,114.85,Montana Hotel Syariah
418,Oranjestad,AW,88.92,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
419,Ewa Beach,US,75.15,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
421,Bubaque,GW,82.72,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
424,Sinnamary,GF,86.41,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
425,Banjarmasin,ID,75.34,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
430,Oussouye,SN,87.03,broken clouds,12.48,-16.55,Auberge du Routard
431,San Andres,CO,87.82,broken clouds,12.58,-81.7,Hotel Arena Blanca
434,Puri,IN,79.32,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
439,Alanya,TR,78.93,clear sky,36.54,32.0,Panorama Hotel
441,Ongole,IN,77.9,moderate rain,15.5,80.05,APSPDCL Guest House
443,Hargeysa,SO,76.1,overcast clouds,9.56,44.06,Deero Hotel Hargeisa
444,Takoradi,GH,79.39,light rain,4.88,-1.76,Raybow International Hotel
447,Mitsamiouli,KM,76.21,scattered clouds,-11.38,43.28,Foyer ADM
449,Healdsburg,US,78.91,fog,38.61,-122.87,Best Western Dry Creek Inn
454,Pabna,BD,78.49,broken clouds,24.0,89.25,Hotel Dream Palace International
457,Tucuman,AR,84.2,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
460,Belmonte,BR,82.4,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
461,Hobyo,SO,77.86,few clouds,5.35,48.53,Halane Hotel and Restaurent
469,Todos Santos,MX,87.3,few clouds,23.45,-110.22,Hotel California Todos Santos
475,Port Moresby,PG,76.42,scattered clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
477,Nacogdoches,US,80.78,haze,31.6,-94.63,The Fredonia Hotel & Convention Center
478,Maceio,BR,85.44,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara
482,Mogadishu,SO,77.94,clear sky,2.04,45.34,Hotel Juba
484,Montelibano,CO,83.84,overcast clouds,7.98,-75.42,Montelíbano Plaza Hotel
485,Kayattar,IN,81.81,moderate rain,8.95,77.8,Hotel Royal
490,Kahului,US,77.85,broken clouds,20.89,-156.47,Maui Seaside Hotel
495,Marzuq,YE,78.3,overcast clouds,14.4,46.47,حيد القفلة
498,Kailua,US,75.18,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
504,Labuhan,ID,77.95,overcast clouds,-6.88,112.21,DoubleFAG
513,Jeremie,HT,86.41,overcast clouds,18.65,-74.12,Auberge’Inn
516,Nang Rong,TH,76.71,overcast clouds,14.64,102.79,Phanomrungpuri Boutique Hotels & Resorts
522,Koumra,TD,78.04,light rain,8.91,17.55,Yamtoide house koumra
527,Tucupita,VE,81.9,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
529,Mabaruma,GY,81.52,overcast clouds,8.2,-59.78,Monty Brooms Guest House
531,Progreso,MX,84.31,clear sky,21.28,-89.67,Playa Linda Hotel
535,Tautira,PF,76.44,light rain,-17.73,-149.15,Pension Oaoa
538,Rawah,IQ,89.33,clear sky,34.48,41.91,عمر
539,Daru,PG,79.36,overcast clouds,-9.08,143.21,Daru Lodge
540,Arawa,PG,76.05,overcast clouds,-6.21,155.54,Coastline Guest House
542,Dakar,SN,88.68,scattered clouds,14.69,-17.44,Novotel Dakar
551,Macau,MO,84.85,scattered clouds,22.2,113.55,Grand Emperor Hotel Macau
553,Shurugwi,ZW,79.99,clear sky,-19.67,30.01,Leilano Lodge
558,Isabela,PH,79.79,moderate rain,6.71,121.97,Isawad Resort
564,Matara,LK,77.9,overcast clouds,5.95,80.54,Amaloh Boutique Resort
565,Liwale,TZ,80.31,clear sky,-9.77,37.93,Tumaini Tulivu Lodge
572,Tual,ID,81.99,overcast clouds,-5.67,132.75,Grand Vilia Hotel
574,Lata,PT,81.48,clear sky,40.16,-8.33,Casa Maquia
575,Faanui,PF,77.34,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
582,Lamar,US,79.9,clear sky,33.67,-95.58,Kings Inn Paris TX
583,Vila Velha,BR,80.55,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
585,Sabha,LY,82.94,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
590,Behat,IN,76.1,scattered clouds,30.17,77.62,Multani's cottage
594,Huambo,AO,84.45,broken clouds,-12.78,15.74,Residencial Mãesidencial Mãe Lina
595,Monywa,MM,83.17,clear sky,22.12,95.13,Monywa Hotel
597,Maragogi,BR,83.79,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
598,Kloulklubed,PW,75.7,broken clouds,7.04,134.26,Storyboard Beach Resort
603,Los Arabos,CU,84.58,moderate rain,22.73,-80.72,Motel Los Pinos
607,Papagaios,BR,86.5,few clouds,-19.45,-44.75,Hotel Mac Palace
611,Kuching,MY,77.22,few clouds,1.55,110.33,Hilton Kuching
616,Kudahuvadhoo,MV,81.64,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
618,Jibuti,DJ,85.66,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
619,Srandakan,ID,77.05,overcast clouds,-7.94,110.25,Puri Brata
621,Salinopolis,BR,85.12,clear sky,-0.61,-47.36,Salinas Park Resort Maçarico AP101
624,Santa Rosalia,MX,78.1,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
626,Vilhena,BR,89.82,scattered clouds,-12.74,-60.15,Hotel Mirage
630,Robinson,US,81.01,clear sky,31.47,-97.11,Flat Creek Farms RV Resort
631,Olinda,BR,82.13,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
632,Chake Chake,TZ,75.36,broken clouds,-5.25,39.77,Pemba Sea View Hotel
634,Chodavaram,IN,76.84,overcast clouds,17.83,82.95,Forest Guest House Devgiri
639,Santa Cruz,BO,89.65,scattered clouds,-17.8,-63.17,Hotel California
640,Buchanan,LR,79.88,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
642,Cartagena,CO,80.22,broken clouds,10.4,-75.51,Hotel Colombia Real - Cartagena
643,Muli,MV,81.59,overcast clouds,2.92,73.57,Medhufushi Island Resort
644,Wewak,PG,80.53,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
645,Cururupu,BR,88.57,scattered clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
646,Mumford,GH,79.0,scattered clouds,5.26,-0.76,Peace Guest House
648,Coro,VE,87.87,scattered clouds,11.4,-69.67,Federal
654,Fartura,BR,81.75,clear sky,-23.39,-49.51,Rocha Palace Hotel
656,Beira,MZ,77.09,scattered clouds,-19.84,34.84,Beira Terrace Hotel
657,Samfya,ZM,83.19,scattered clouds,-11.36,29.56,Chita Lodge Samfya
661,Mayumba,GA,77.4,overcast clouds,-3.43,10.66,LIKWALE LODGE
